name,email,profile_score,ratings_score,search_score
Leilani R.,user7508@t-mobile.com,0.83,3.5,3.5
Faridah D.,user7903@hotmail.com,0.83,4.6,2.72
Shaina Z.,user1969@hotmail.com,0.83,4.5,2.67
Wendy J.,user9082@t-mobile.com,0.83,2.67,2.67
Derek K.,user5398@verizon.net,1.25,4.0,2.62
Robin R.,user3251@yahoo.com,1.0,4.25,2.62
Kathy D.,user3697@verizon.net,0.83,2.55,2.55
Gwen G.,user9973@hotmail.com,1.25,3.8,2.52
Jenny S.,user7736@t-mobile.com,1.0,4.0,2.5
Joei B.,user1943@verizon.net,1.0,4.0,2.5
Rachel  R.,user7851@hotmail.com,0.83,4.0,2.42
Aksana B.,user7938@verizon.net,1.0,3.75,2.38
Melissa C.,user9029@t-mobile.com,0.71,4.0,2.36
Huan H.,user1233@yahoo.com,1.25,3.43,2.34
Alex S.,user3337@verizon.net,1.0,3.67,2.33
Chris K.,user2807@hotmail.com,0.83,3.83,2.33
Ben F.,user7540@verizon.net,1.25,3.33,2.29
Justin K.,user2311@t-mobile.com,0.71,3.83,2.27
Carl P.,user7345@verizon.net,1.0,3.5,2.25
Kevin H.,user1690@verizon.net,0.83,3.67,2.25
Lisa D.,user7177@verizon.net,1.0,3.5,2.25
Leah S.,user7442@verizon.net,1.0,3.4,2.2
Robert S.,user7650@verizon.net,0.83,3.57,2.2
Tony L.,user6074@t-mobile.com,1.0,3.4,2.2
Julie X.,user1932@yahoo.com,0.83,3.5,2.17
Ricky E.,user7080@verizon.net,0.83,3.5,2.17
Sandy O.,user4846@hotmail.com,0.83,3.5,2.17
Terence A.,user1075@gmail.com,0.83,3.5,2.17
Meagan M.,user4671@yahoo.com,1.0,3.29,2.14
Jessica C.,user5135@t-mobile.com,0.83,3.43,2.13
Dina L.,user4051@gmail.com,1.0,3.25,2.12
Gayle P.,user5598@hotmail.com,0.83,3.4,2.12
Nancy O.,user9792@hotmail.com,1.0,3.25,2.12
Magali M.,user1349@hotmail.com,1.0,3.2,2.1
Reagan N.,user8249@yahoo.com,1.0,3.2,2.1
Ashley H.,user1949@gmail.com,0.83,3.33,2.08
Chanece W.,user2983@verizon.net,0.83,3.33,2.08
Ashley  K.,user6178@hotmail.com,0.71,3.43,2.07
Lindsay H.,user5322@t-mobile.com,0.62,3.5,2.06
Jordan  R.,user6702@hotmail.com,0.83,3.25,2.04
Christa A.,user1842@hotmail.com,0.71,3.33,2.02
Kailyn G.,user7812@hotmail.com,0.71,3.33,2.02
William P.,user6217@gmail.com,0.83,3.2,2.02
Chasen   T.,user6379@t-mobile.com,0.71,3.29,2.0
Dawn M.,user2847@verizon.net,1.0,3.0,2.0
Michael E.,user6860@verizon.net,0.71,3.29,2.0
Nakisa S.,user1777@yahoo.com,1.0,3.0,2.0
Nancy B.,user2655@verizon.net,1.0,3.0,2.0
Pam L.,user9227@t-mobile.com,1.25,2.75,2.0
Paul S.,user8635@verizon.net,1.0,3.0,2.0
Jessica E.,user4980@gmail.com,0.83,3.14,1.99
Ilka A.,user9866@gmail.com,1.25,2.71,1.98
Sylvia W.,user2644@hotmail.com,0.71,3.25,1.98
Kristina M.,user2424@verizon.net,0.62,3.25,1.94
Julie W.,user8738@gmail.com,0.83,3.0,1.92
Mahgul U.,user5411@hotmail.com,0.83,3.0,1.92
Marita C.,user2537@hotmail.com,0.83,3.0,1.92
Randal  W.,user9209@hotmail.com,0.83,3.0,1.92
Vanessa B.,user4215@hotmail.com,0.83,3.0,1.92
Cooper P.,user9271@yahoo.com,1.0,2.75,1.88
Mary A.,user5760@yahoo.com,1.25,2.5,1.88
Jennifer W.,user7759@hotmail.com,0.71,3.0,1.86
BOB M.,user6954@verizon.net,1.67,2.0,1.83
Heather T.,user5835@yahoo.com,1.0,2.67,1.83
Kathryn S.,user4691@hotmail.com,0.62,3.0,1.81
Sharon H.,user7582@yahoo.com,0.83,2.75,1.79
Mackenzie  S.,user4917@t-mobile.com,0.56,3.0,1.78
Michelle B.,user3971@hotmail.com,0.71,2.83,1.77
Jessica L.,user4669@t-mobile.com,0.71,2.8,1.76
Julianna C.,user5555@gmail.com,0.71,2.8,1.76
Alex F.,user6713@gmail.com,1.0,2.5,1.75
Tessa L.,user5363@verizon.net,1.0,2.5,1.75
Anna Marie W.,user8656@yahoo.com,0.71,2.75,1.73
Stephen W.,user3341@gmail.com,0.71,2.75,1.73
Anne D.,user7112@verizon.net,1.25,2.2,1.72
Christa Z.,user7861@yahoo.com,0.62,2.78,1.7
Maureen  B.,user8248@t-mobile.com,0.71,2.67,1.69
Conor H.,user3489@yahoo.com,1.0,2.33,1.67
Lyndsey B.,user1211@yahoo.com,0.71,2.6,1.66
Lauren B.,user4739@gmail.com,0.71,2.57,1.64
Nelson M.,user6604@yahoo.com,0.83,2.43,1.63
Ali P.,user1945@yahoo.com,1.25,2.0,1.62
Angie S.,user3864@yahoo.com,0.83,2.4,1.62
Anne B.,user2738@t-mobile.com,1.25,2.0,1.62
Hilary S.,user3123@t-mobile.com,0.71,2.5,1.61
Kandace L.,user6407@t-mobile.com,0.71,2.5,1.61
Samantha O.,user5082@t-mobile.com,0.71,2.5,1.61
Alejandro G.,user9414@gmail.com,0.56,2.57,1.56
Danielle W.,user9612@t-mobile.com,0.71,2.33,1.52
Kimberly K.,user9921@t-mobile.com,0.62,2.33,1.48
Megan B.,user3695@yahoo.com,0.83,2.0,1.42
Tasha J.,user7137@yahoo.com,1.0,1.67,1.33
Shellie C.,user7784@hotmail.com,0.83,1.8,1.32
Herlina S.,user2683@hotmail.com,0.62,2.0,1.31
Caroline M.,user7287@hotmail.com,0.56,2.0,1.28
Wanda C.,user5253@hotmail.com,1.0,1.5,1.25
Caroline J.,user6094@gmail.com,0.56,1.8,1.18
Gaurang P.,user5707@yahoo.com,0.83,1.5,1.17
Matthew Ryan H.,user3091@yahoo.com,0.56,1.5,1.03
Kristy B.,user9371@hotmail.com,0.71,1.0,0.86
